1	110	4.922072
1	157	4.353324
1	260	4.855542
1	333	4.470402
1	500	4.196713
1	736	3.511072
1	943	4.071617
1	954	4.306185
1	1025	4.436497
1	1060	4.313861
1	1073	4.864163
1	1196	5.000000
1	1210	4.406878
1	1214	4.436660
1	1222	4.711441
1	1226	4.338290
1	1278	4.581947
1	1298	4.756320
1	1408	4.753101
1	1473	4.231806
1	1500	4.700089
1	1573	4.026298
1	1805	3.740153
1	1927	4.954276
1	2018	4.658771
1	2033	4.686899
1	2046	4.168129
1	2058	4.633582
1	2105	4.009440
1	2137	4.227896
1	2291	3.805042
1	2338	3.848715
1	2406	4.115450
1	2450	3.083992
1	2502	4.627740
1	2542	4.515609
1	2571	4.728868
1	2641	3.765195
1	2644	3.724642
1	2700	4.435327
1	2948	4.499714
1	2987	4.057774
1	3033	3.496174
1	3062	4.248488
1	3253	4.896523
1	3479	4.009190
1	3729	4.465224
1	3809	4.133272
2	71535	3.780986
2	80489	3.871702
2	89774	3.878040
2	91529	4.237880
2	131724	3.907511
3	31	2.490988
3	688	2.847870
3	720	2.177746
3	2080	2.734451
3	2288	3.426794
3	3210	3.064603
3	5181	2.465529
3	26409	2.200858
3	70946	2.151135
4	260	3.969187
4	345	3.167642
4	351	3.284960
4	417	3.018430
4	441	3.436945
4	492	3.294057
4	509	2.933315
4	539	3.914606
4	553	3.596053
4	599	3.778275
4	892	3.355990
4	898	4.663011
4	914	3.662126
4	937	3.699776
4	1060	3.722601
4	1103	3.762451
4	1179	4.430726
4	1199	3.427371
4	1203	3.207880
4	1580	3.137791
4	1892	3.502295
4	1895	3.744882
4	2078	3.773516
4	2203	4.288893
4	2467	3.520667
4	2583	4.235608
4	2628	3.549781
4	2712	3.591781
4	2843	3.440838
4	2959	3.058177
4	2973	3.892884
4	3079	3.402886
4	3175	3.630341
4	3204	3.803496
4	3317	3.478433
4	3358	4.080405
4	3408	3.917792
4	3489	3.994527
4	3591	3.859730
4	3967	3.495276
4	4014	3.371724
4	4166	3.281850
4	4246	3.775611
4	4260	3.772266
4	4896	4.029083
5	21	3.543204
5	58	3.938697
5	110	3.072543
5	232	3.039996
5	253	3.180170
5	261	3.832779
5	531	3.565370
6	2	4.234296
6	6	3.244826
6	16	3.142921
6	17	3.466857
6	22	3.556838
6	25	3.374444
6	31	3.750594
6	34	4.128159
6	36	3.482634
6	41	3.550322
6	47	3.443351
6	62	4.270747
6	65	3.757954
6	113	3.330718
6	140	3.576375
6	158	3.750299
6	161	3.628521
6	177	3.217565
6	181	2.838068
6	196	3.190048
6	208	3.672356
6	216	3.003771
6	231	3.618960
6	234	3.381447
6	251	3.495290
6	254	3.274570
6	257	3.533334
6	271	3.375523
6	289	3.699266
6	292	3.890194
6	332	3.315791
6	337	3.720615
6	371	3.477098
6	377	4.260264
6	383	3.261045
6	412	3.469875
6	435	3.357984
6	440	3.582750
6	460	3.645592
6	474	3.806131
6	485	3.137829
6	500	4.217985
6	502	3.605500
6	505	2.586998
6	575	3.286254
6	596	3.871847
6	606	3.560030
6	640	3.021094
6	710	3.316731
6	780	4.233221
6	818	3.881029
6	839	3.490564
6	880	3.296768
6	999	3.249022
7	595	3.491516
7	648	3.304626
7	924	4.300392
7	1101	3.240642
7	1617	4.110608
7	1923	3.500698
7	1954	3.964244
7	2324	3.626458
7	2762	3.522947
7	2858	3.831562
7	3578	2.993521
7	4018	2.174123
7	4995	3.148475
7	5218	3.054380
7	5445	3.670275
7	5502	2.979433
7	5816	3.650073
7	7153	4.723346
7	8528	3.261877
7	8636	3.481203
7	8783	2.906142
7	8798	3.749904
7	8865	2.581621
7	8907	2.964948
7	8958	3.455524
7	8972	3.187593
7	30812	3.372265
7	32031	2.894764
7	32296	2.335754
7	33493	2.046435
7	33794	3.306364
7	45499	2.673494
7	45517	2.851672
7	46530	3.384398
7	48783	3.360509
7	48997	2.669214
8	34	3.981705
8	141	3.845015
8	150	3.847410
8	153	2.823227
8	235	3.615651
8	236	3.352721
8	253	3.250464
8	292	3.379021
8	367	2.988244
8	377	3.389042
8	380	3.338218
8	457	3.864543
9	371	3.023370
9	1095	3.602980
9	1987	2.911866
9	2300	3.412996
9	3328	3.361457
9	4993	4.384986
9	5451	2.841260
9	5843	2.440629
9	5891	2.939536
9	5952	4.152516
9	5965	3.030104
9	5988	3.183199
10	296	2.662211
10	356	3.275013
10	597	3.034416
10	1247	3.387594
10	3578	2.241361
10	4306	3.454482
10	6266	3.212970
10	6535	3.782187
10	7153	3.190313
10	7154	2.907915
10	7458	2.942522
10	8529	3.032056
10	8808	3.027380
